Latitude,Longitude,Flood depth (m)
26.183,91.793,0.031567745
26.184,91.793,0.031594048
26.148,91.748,0.03159621
26.119,91.737,0.031609182
26.166,91.761,0.031634197
26.166,91.727,0.031647558
26.115,91.804,0.031648159
26.172,91.793,0.031654248
26.189,91.779,0.031660323
26.145,91.766,0.031702249
26.175,91.77,0.031705744
26.151,91.742,0.031725819
26.183,91.787,0.031736722
26.125,91.741,0.031822448
26.175,91.757,0.031831422
26.184,91.813,0.031837428
26.165,91.727,0.031884203
26.168,91.786,0.031925788
26.127,91.822,0.031953681
26.128,91.822,0.031964352
26.172,91.751,0.031976247
26.173,91.793,0.032000589
26.151,91.78,0.032016203
26.191,91.78,0.032125185
26.163,91.754,0.032186677
26.116,91.81,0.032199545
26.115,91.81,0.032226825
26.184,91.814,0.03225723
26.166,91.779,0.032261558
26.189,91.777,0.032264402
26.17,91.791,0.03232656
26.17,91.752,0.032343998
26.128,91.823,0.032359676
26.129,91.824,0.032379935
26.17,91.764,0.032403867
26.177,91.791,0.032417228
26.178,91.771,0.032437322
26.128,91.763,0.032500589
26.158,91.749,0.03255769
26.184,91.792,0.032580745
26.154,91.751,0.032645512
26.157,91.774,0.032747004
26.177,91.815,0.032812421
26.168,91.77,0.032872307
26.146,91.786,0.033039956
26.173,91.756,0.033048811
26.177,91.816,0.033105412
26.17,91.753,0.033110483
26.168,91.752,0.033110483
26.134,91.739,0.033152075
26.148,91.742,0.033175769
26.131,91.759,0.033208957
26.178,91.816,0.03325201
26.18,91.764,0.033280249
26.184,91.817,0.033342502
26.112,91.729,0.033343577
26.125,91.742,0.033418698
26.179,91.818,0.033535433
26.184,91.818,0.033574684
26.184,91.819,0.033575583
26.183,91.819,0.033575692
26.183,91.82,0.033576562
26.183,91.821,0.033577511
26.145,91.744,0.033586307
26.178,91.817,0.033625078
26.182,91.826,0.033649979
26.182,91.823,0.033649979
26.177,91.827,0.033649979
26.177,91.826,0.033649979
26.177,91.825,0.033649979
26.177,91.823,0.033649979
26.177,91.822,0.033649979
26.178,91.818,0.033649979
26.177,91.828,0.033649979
26.127,91.738,0.033723555
26.174,91.79,0.033726039
26.134,91.738,0.03373174
26.118,91.805,0.033731747
26.168,91.769,0.033901114
26.134,91.741,0.033903642
26.174,91.789,0.0339276
26.127,91.747,0.033948016
26.138,91.678,0.033954048
26.15,91.742,0.034066293
26.15,91.78,0.034135785
26.181,91.765,0.034315829
26.136,91.736,0.034317644
26.17,91.79,0.034345622
26.126,91.744,0.034404399
26.165,91.761,0.034406352
26.112,91.732,0.034462476
26.165,91.769,0.034482396
26.176,91.761,0.034501631
26.175,91.759,0.034501631
26.134,91.733,0.034526711
26.175,91.764,0.034637074
26.162,91.755,0.034643879
26.146,91.766,0.034653111
26.133,91.767,0.034923675
26.181,91.763,0.03493156
26.167,91.766,0.035024209
26.182,91.76,0.035062032
26.19,91.781,0.035070975
26.178,91.758,0.035147936
26.185,91.795,0.035193386
26.17,91.742,0.035341508
26.14,91.764,0.035364232
26.165,91.778,0.035374458
26.174,91.788,0.035375752
26.185,91.792,0.03542279
26.185,91.791,0.035430946
26.17,91.743,0.035457327
26.191,91.782,0.035465584
26.176,91.762,0.035534551
26.17,91.729,0.035544543
26.17,91.741,0.035573146
26.124,91.771,0.035635579
26.181,91.764,0.035647855
26.167,91.764,0.035721576
26.127,91.745,0.035818663
26.125,91.771,0.035831821
26.172,91.763,0.035886977
26.19,91.782,0.035964403
26.149,91.742,0.035964417
26.157,91.775,0.036054022
26.119,91.768,0.036129532
26.144,91.809,0.036227946
26.174,91.752,0.036379635
26.151,91.745,0.036401649
26.158,91.774,0.03652298
26.174,91.781,0.036541352
26.15,91.749,0.036564503
26.143,91.809,0.036575801
26.15,91.804,0.036638279
26.135,91.733,0.036683955
26.135,91.734,0.036683955
26.123,91.82,0.036753542
26.186,91.791,0.036759853
26.134,91.742,0.036869681
26.165,91.768,0.036876035
26.146,91.764,0.036921229
26.14,91.766,0.036929212
26.112,91.81,0.036990337
26.112,91.809,0.036992769
26.114,91.809,0.036994529
26.113,91.809,0.036995151
26.182,91.764,0.037104793
26.115,91.809,0.037105362
26.139,91.679,0.037149639
26.19,91.783,0.03725168
26.15,91.805,0.037256513
26.177,91.782,0.037273989
26.133,91.737,0.037300961
26.17,91.728,0.037393131
26.154,91.752,0.037425239
26.111,91.812,0.037659988
26.111,91.811,0.037659988
26.11,91.811,0.037659988
26.11,91.81,0.037659988
26.111,91.81,0.037659988
26.11,91.809,0.037659988
26.111,91.808,0.037659988
26.111,91.807,0.037659988
26.112,91.807,0.037659988
26.112,91.806,0.037659988
26.113,91.806,0.037659988
26.177,91.757,0.037672997
26.127,91.746,0.037680655
26.115,91.813,0.037708645
26.189,91.783,0.037750287
26.188,91.783,0.037782443
26.19,91.784,0.03786473
26.167,91.727,0.038021154
26.189,91.784,0.038066292
26.175,91.738,0.038165529
26.182,91.763,0.038405578
26.159,91.748,0.038572819
26.175,91.781,0.038590732
26.15,91.806,0.038605244
26.146,91.785,0.038667083
26.19,91.792,0.038712158
26.19,91.79,0.038712192
26.19,91.791,0.038712194
26.191,91.79,0.038712196
26.191,91.791,0.038712199
26.144,91.81,0.038751841
26.17,91.739,0.038784914
26.168,91.742,0.039097266
26.144,91.742,0.039124861
26.151,91.746,0.039202766
26.169,91.79,0.039325528
26.182,91.765,0.039385033
26.182,91.766,0.039445612
26.188,91.778,0.039454195
26.145,91.745,0.039499393
26.133,91.761,0.039509988
26.159,91.751,0.039534307
26.143,91.81,0.039775701
26.176,91.757,0.039776421
26.146,91.744,0.039804728
26.182,91.767,0.03993284
26.162,91.721,0.040188785
26.162,91.72,0.040188932
26.163,91.721,0.04027277
26.163,91.719,0.040347099
26.135,91.748,0.04041914
26.15,91.807,0.040456729
26.177,91.792,0.040542073
26.188,91.789,0.040608225
26.183,91.767,0.040622449
26.178,91.772,0.040683584
26.183,91.766,0.040685678
26.151,91.807,0.040742841
26.167,91.733,0.040750723
26.182,91.788,0.040776129
26.173,91.755,0.040796614
26.166,91.768,0.040823236
26.164,91.719,0.040850301
26.157,91.77,0.04086566
26.175,91.782,0.040866795
26.146,91.745,0.0409622
26.168,91.79,0.041001735
26.151,91.808,0.041232724
26.164,91.722,0.041339583
26.186,91.787,0.04138227
26.126,91.734,0.041413965
26.13,91.735,0.041413965
26.176,91.783,0.041482096
26.186,91.776,0.041547999
26.151,91.809,0.041569672
26.164,91.723,0.041596251
26.164,91.718,0.041624265
26.144,91.74,0.041628165
26.157,91.776,0.041628652
26.169,91.728,0.041676106
26.165,91.718,0.041681442
26.165,91.717,0.041688657
26.164,91.717,0.041704698
26.164,91.716,0.041706133
26.152,91.749,0.04184103
26.187,91.774,0.041944866
26.173,91.753,0.042077289
26.181,91.762,0.042217331
26.142,91.745,0.04226717
26.143,91.811,0.042414813
26.13,91.759,0.042452717
26.17,91.717,0.042582684
26.17,91.716,0.042596874
26.151,91.81,0.042603369
26.167,91.74,0.042621384
26.167,91.726,0.042630587
26.169,91.717,0.042639294
26.187,91.787,0.042729816
26.145,91.811,0.04282021
26.165,91.723,0.042890854
26.154,91.813,0.042901144
26.167,91.786,0.042935371
26.175,91.78,0.042963281
26.143,91.812,0.042989907
26.153,91.812,0.043043294
26.153,91.813,0.04307116
26.132,91.76,0.043083949
26.152,91.812,0.043215775
26.176,91.784,0.043218861
26.151,91.811,0.043229537
26.151,91.812,0.043248634
26.179,91.772,0.04326911
26.135,91.739,0.0432938
26.167,91.779,0.043346543
26.127,91.744,0.043382473
26.171,91.763,0.043660145
26.128,91.743,0.043724227
26.154,91.814,0.043734355
26.165,91.724,0.043764124
26.134,91.743,0.043833237
26.167,91.732,0.043877907
26.181,91.761,0.04391542
26.153,91.814,0.043957062
26.159,91.747,0.044007187
26.15,91.743,0.044101434
26.144,91.811,0.044131722
26.15,91.745,0.044143176
26.166,91.724,0.044177094
26.151,91.744,0.044195776
26.166,91.725,0.044208083
26.185,91.796,0.044229226
26.177,91.79,0.044239216
26.189,91.776,0.044240117
26.166,91.726,0.044261765
26.154,91.815,0.044265437
26.149,91.782,0.044288592
26.156,91.776,0.04430059
26.188,91.776,0.044300694
26.134,91.737,0.044310136
26.186,91.795,0.044383092
26.186,91.796,0.044384236
26.186,91.786,0.044397392
26.179,91.787,0.044424639
26.144,91.812,0.04443758
26.144,91.743,0.044478827
26.145,91.743,0.044592862
26.152,91.813,0.044594455
26.187,91.776,0.04459938
26.182,91.789,0.044651361
26.149,91.743,0.044664593
26.168,91.766,0.044710827
26.183,91.794,0.0447471
26.146,91.748,0.044764304
